level,chamber,name,towns,representative2020,party2020,Total population,Population under age 18,Percent under age 18,Population ages 18+,Percent ages 18+,Population ages 65+,Percent ages 65+,Latino population,Percent Latino,White population,Percent white,Black population,Percent black,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate,Safe walking at night,Influence over local govt,Access to car,Very good self-rated health,Smoking,Obesity,Dental visit in past year,Local parks in good condition,Feel local govt is responsive,Think residents are able to obtain jobs,Good place to raise kids,Satisfied with area,Food insecurity,Adults with diabetes,No bank account
state,,Connecticut,,,,3581504,752625,0.21,2828879,0.79,587580,0.16,561791,0.16,2418696,0.68,351817,0.1,249200,0.07,513646,0.14,1367374,907134,0.66,484571,0.36,3474901,348449,0.1,796272,0.23,743194,100097,0.13,222157,0.3,566635,41393,0.07,124153,0.22,0.7,0.67,0.89,0.6,0.15,0.27,0.75,0.75,0.51,0.46,0.74,0.82,0.13,0.1,0.91
district,senate,S001,Hartford; Wethersfield,John W. Fonfara,D,95887,22961,0.24,72926,0.76,11669,0.12,46328,0.48,27778,0.29,15732,0.16,6049,0.06,18892,0.2,35372,13177,0.37,16446,0.48,93166,23195,0.25,44242,0.47,22716,7700,0.34,14238,0.63,11339,2320,0.2,4987,0.44,0.54,0.69,0.73,0.53,0.16,0.31,0.68,0.58,0.38,0.38,0.52,0.73,0.24,0.12,0.8
district,senate,S002,Bloomfield; Hartford; Windsor,Douglas McCrory,D,94945,18901,0.2,76044,0.8,15267,0.16,14761,0.16,23921,0.25,50370,0.53,5893,0.06,20724,0.22,36886,18172,0.49,15585,0.44,90326,15883,0.18,32062,0.35,18691,4749,0.25,9287,0.5,14637,1798,0.12,4640,0.32,0.58,0.7,0.77,0.56,0.15,0.34,0.7,0.62,0.41,0.41,0.57,0.78,0.21,0.12,0.87
district,senate,S003,East Hartford; East Windsor; Ellington; South Windsor,Saud Anwar,D,100261,21544,0.21,78717,0.79,15040,0.15,21251,0.21,56840,0.57,13654,0.14,8516,0.08,17152,0.17,39528,26260,0.66,13828,0.36,99364,9551,0.1,23106,0.23,21106,2760,0.13,6300,0.3,14674,1484,0.1,3527,0.24,0.68,0.63,0.87,0.58,0.17,0.34,0.75,0.72,0.47,0.47,0.71,0.8,0.11,0.12,0.91
district,senate,S004,Andover; Bolton; Glastonbury; Manchester,Steve Cassano,D,100684,21730,0.22,78954,0.78,15736,0.16,9938,0.1,69143,0.69,8807,0.09,12796,0.13,14354,0.14,40542,27096,0.67,12032,0.3,99676,7086,0.07,17663,0.18,21440,1741,0.08,4847,0.23,15119,847,0.06,2600,0.17,0.7,0.64,0.91,0.6,0.16,0.26,0.77,0.78,0.52,0.46,0.73,0.81,0.13,0.1,0.9
district,senate,S005,Bloomfield; Burlington; Farmington; West Hartford,Derek Slap,D,97598,21309,0.22,76289,0.78,17738,0.18,8318,0.09,74950,0.77,4510,0.05,9820,0.1,16112,0.17,38313,28135,0.73,11009,0.29,95751,6496,0.07,14734,0.15,21102,1728,0.08,3837,0.18,16993,1186,0.07,3170,0.19,0.82,0.76,0.92,0.71,0.07,0.19,0.8,0.89,0.69,0.64,0.93,0.9,0.05,0.09,0.95
district,senate,S006,Berlin; Farmington; New Britain,Gennaro Bizzarro,R,96657,21488,0.22,75169,0.78,14622,0.15,31334,0.32,51434,0.53,8716,0.09,5173,0.05,17189,0.18,37981,19782,0.52,14392,0.4,93965,16444,0.18,33585,0.36,21323,5708,0.27,11270,0.53,14067,1447,0.1,4100,0.29,0.61,0.6,0.84,0.5,0.17,0.29,0.74,0.67,0.43,0.34,0.5,0.71,0.21,0.11,0.87
district,senate,S007,East Granby; Enfield; Granby; Somers; Suffield; Windsor Locks,John A. Kissel,R,102085,19735,0.19,82350,0.81,17313,0.17,7289,0.07,82673,0.81,6553,0.06,5570,0.05,6534,0.06,37294,29974,0.8,9917,0.27,94342,5477,0.06,14620,0.15,19466,1466,0.08,3717,0.19,16542,632,0.04,2640,0.16,0.78,0.6,0.9,0.55,0.19,0.31,0.7,0.61,0.4,0.43,0.67,0.77,0.13,0.1,0.95
district,senate,S008,Avon; Barkhamsted; Canton; Colebrook; Hartland; New Hartford; Norfolk; Simsbury; Torrington,Kevin D. Witkos,R,96414,21497,0.22,74917,0.78,17737,0.18,5999,0.06,82683,0.86,1749,0.02,5983,0.06,9363,0.1,37458,29661,0.79,10868,0.3,95272,5159,0.05,13979,0.15,21244,1100,0.05,3190,0.15,17046,837,0.05,3271,0.19,0.73,0.69,0.88,0.67,0.14,0.24,0.72,0.82,0.61,0.53,0.81,0.86,0.08,0.06,0.92
district,senate,S009,Cromwell; Middletown; Newington; Rocky Hill,Matthew L. Lesser,D,102356,18729,0.18,83627,0.82,18602,0.18,8602,0.08,74375,0.73,8266,0.08,11113,0.11,16575,0.16,42166,27472,0.65,13051,0.32,97663,6812,0.07,17255,0.18,18639,1616,0.09,3943,0.21,17703,1234,0.07,4235,0.24,0.81,0.65,0.93,0.61,0.12,0.28,0.77,0.8,0.57,0.58,0.85,0.83,0.11,0.11,0.93
district,senate,S010,New Haven; West Haven,Gary A. Winfield,D,96227,22096,0.23,74131,0.77,9210,0.1,23579,0.25,26866,0.28,37967,0.39,7815,0.08,16890,0.18,34132,10576,0.31,17716,0.54,87949,22804,0.26,42492,0.48,21880,7275,0.33,13564,0.62,8828,1250,0.14,3022,0.34,0.52,0.65,0.78,0.55,0.17,0.33,0.68,0.55,0.34,0.31,0.48,0.76,0.2,0.11,0.85
district,senate,S011,Hamden; New Haven,Martin M. Looney,D,97374,18110,0.19,79264,0.81,13491,0.14,26392,0.27,48188,0.49,14735,0.15,8059,0.08,15127,0.16,38465,15835,0.41,16979,0.46,89043,15813,0.18,30853,0.35,17703,4323,0.24,8383,0.47,12925,1509,0.12,4074,0.32,0.53,0.66,0.79,0.56,0.17,0.33,0.69,0.61,0.4,0.37,0.52,0.77,0.18,0.12,0.86
district,senate,S012,Branford; Durham; Guilford; Killingworth; Madison; North Branford,Christine Cohen,D,94659,18857,0.2,75802,0.8,20924,0.22,3566,0.04,85422,0.9,1050,0.01,4621,0.05,6210,0.07,37401,30471,0.81,12181,0.33,94014,4112,0.04,11199,0.12,18772,743,0.04,2294,0.12,20462,1014,0.05,3253,0.16,0.83,0.75,0.92,0.67,0.13,0.19,0.78,0.91,0.61,0.55,0.93,0.91,0.08,0.06,0.95
district,senate,S013,Cheshire; Meriden; Middlefield; Middletown,Mary Daugherty Abrams,D,96698,17773,0.18,78925,0.82,17183,0.18,17971,0.19,66163,0.68,7437,0.08,5127,0.05,8921,0.09,40753,27010,0.66,11283,0.29,95393,8555,0.09,19527,0.2,17686,2407,0.14,5280,0.3,16112,922,0.06,3209,0.2,0.69,0.61,0.89,0.57,0.17,0.29,0.75,0.71,0.42,0.38,0.63,0.74,0.16,0.12,0.91
district,senate,S014,Milford; Orange; West Haven; Woodbridge,James J. Maroney,D,95820,18162,0.19,77658,0.81,17951,0.19,9105,0.1,75034,0.78,4123,0.04,7558,0.08,11182,0.12,37472,28150,0.75,13340,0.36,95114,5123,0.05,15530,0.16,17989,1026,0.06,3416,0.19,17458,915,0.05,3478,0.2,0.72,0.63,0.89,0.6,0.16,0.29,0.72,0.71,0.48,0.43,0.74,0.81,0.15,0.1,0.9
district,senate,S015,Middlebury; Naugatuck; Waterbury,Joan V. Hartley,D,101394,25426,0.25,75968,0.75,13271,0.13,34859,0.34,42966,0.42,17027,0.17,6542,0.06,17005,0.17,37227,17469,0.47,16948,0.48,99871,22265,0.22,45261,0.45,25032,7797,0.31,14928,0.6,12809,1711,0.13,5219,0.41,0.54,0.55,0.83,0.52,0.25,0.36,0.69,0.5,0.32,0.28,0.43,0.63,0.22,0.11,0.84
district,senate,S016,Cheshire; Prospect; Southington; Waterbury; Wolcott,Rob Sampson,R,101931,21388,0.21,80543,0.79,18396,0.18,10988,0.11,79162,0.78,7072,0.07,4709,0.05,9650,0.09,38091,27860,0.73,11485,0.31,98724,6575,0.07,17335,0.18,21038,1969,0.09,5011,0.24,17851,905,0.05,3638,0.2,0.71,0.64,0.89,0.56,0.17,0.29,0.74,0.71,0.49,0.44,0.7,0.77,0.15,0.13,0.91
district,senate,S017,Ansonia; Beacon Falls; Bethany; Derby; Hamden; Naugatuck; Woodbridge,George S. Logan,R,99571,21725,0.22,77846,0.78,15589,0.16,14966,0.15,62134,0.62,15890,0.16,6581,0.07,13498,0.14,37096,25277,0.68,13632,0.38,98298,9171,0.09,21072,0.21,21554,3072,0.14,6186,0.29,15119,1066,0.07,3063,0.2,0.65,0.63,0.88,0.53,0.19,0.33,0.69,0.68,0.45,0.35,0.67,0.79,0.16,0.11,0.91
district,senate,S018,Griswold; Groton; North Stonington; Plainfield; Preston; Sterling; Stonington; Voluntown,Heather S. Somers,R,100577,20330,0.2,80247,0.8,17218,0.17,7498,0.07,82086,0.82,3627,0.04,7366,0.07,6157,0.06,40362,26267,0.65,13343,0.34,96708,8590,0.09,22460,0.23,20016,2954,0.15,6789,0.34,16603,931,0.06,3577,0.22,0.73,0.67,0.93,0.58,0.2,0.33,0.75,0.81,0.52,0.49,0.79,0.84,0.18,0.11,0.94
district,senate,S019,Columbia; Franklin; Hebron; Lebanon; Ledyard; Lisbon; Marlborough; Norwich; Sprague,Catherine A. Osten,D,99001,20451,0.21,78550,0.79,16054,0.16,8574,0.09,75358,0.76,5301,0.05,9768,0.1,8928,0.09,38493,27447,0.71,11102,0.29,96848,7940,0.08,20423,0.21,20216,2127,0.11,5625,0.28,15659,1050,0.07,3689,0.24,0.68,0.66,0.88,0.52,0.17,0.33,0.73,0.65,0.35,0.35,0.65,0.74,0.17,0.14,0.92
district,senate,S020,Bozrah; East Lyme; Montville; Old Lyme; Salem; Waterford,Paul M. Formica,R,94777,17320,0.18,77457,0.82,18035,0.19,13021,0.14,70266,0.74,5490,0.06,6000,0.06,8836,0.09,38321,26162,0.68,12818,0.34,88604,10751,0.12,21105,0.24,17113,3234,0.19,5925,0.35,17349,1091,0.06,3126,0.18,0.7,0.64,0.89,0.54,0.19,0.31,0.74,0.71,0.44,0.42,0.69,0.79,0.15,0.14,0.9
district,senate,S021,Monroe; Seymour; Shelton; Stratford,Kevin C. Kelly,R,100701,19523,0.19,81178,0.81,19922,0.2,10421,0.1,79627,0.79,5246,0.05,5407,0.05,13451,0.13,38853,32418,0.83,13789,0.36,99667,5468,0.05,14151,0.14,19213,1055,0.05,2678,0.14,19240,1028,0.05,4060,0.21,0.75,0.65,0.92,0.62,0.14,0.29,0.79,0.77,0.48,0.5,0.83,0.85,0.12,0.1,0.94
district,senate,S022,Bridgeport; Monroe; Trumbull,Marilyn V. Moore,D,99795,21786,0.22,78009,0.78,15299,0.15,21668,0.22,53167,0.53,17008,0.17,7952,0.08,22719,0.23,35122,23962,0.68,14209,0.42,97854,9702,0.1,21530,0.22,21381,2936,0.14,6305,0.29,15000,810,0.05,2828,0.19,0.63,0.66,0.85,0.57,0.15,0.29,0.71,0.74,0.43,0.41,0.59,0.76,0.19,0.11,0.88
district,senate,S023,Bridgeport; Stratford,Dennis A. Bradley,D,98122,24979,0.25,73143,0.75,9265,0.09,42953,0.44,12769,0.13,36603,0.37,5797,0.06,27382,0.28,33267,11770,0.35,18372,0.57,95130,22925,0.24,49440,0.52,24667,8152,0.33,16595,0.67,8867,1581,0.18,4079,0.46,0.47,0.61,0.76,0.49,0.2,0.37,0.64,0.58,0.29,0.25,0.32,0.68,0.27,0.12,0.82
district,senate,S024,Danbury; New Fairfield; Sherman,Julie Kushner,D,107383,22436,0.21,84947,0.79,15641,0.15,27039,0.25,62707,0.58,7037,0.07,10600,0.1,27741,0.26,37884,24829,0.66,14362,0.39,103838,10196,0.1,24625,0.24,21989,3293,0.15,7698,0.35,14997,1065,0.07,2863,0.19,0.68,0.66,0.93,0.63,0.14,0.24,0.74,0.73,0.59,0.52,0.76,0.85,0.1,0.08,0.92
district,senate,S025,Darien; Norwalk,Bob Duff,D,103102,22948,0.22,80154,0.78,14894,0.14,25346,0.25,58578,0.57,12006,0.12,7172,0.07,26992,0.26,38529,23998,0.62,15827,0.42,102510,8949,0.09,23038,0.22,22715,2613,0.12,6836,0.3,14584,1437,0.1,3162,0.22,0.69,0.65,0.9,0.65,0.11,0.22,0.75,0.74,0.48,0.53,0.73,0.85,0.1,0.09,0.91
district,senate,S026,Bethel; New Canaan; Redding; Ridgefield; Weston; Westport; Wilton,Will Haskell,D,108473,29721,0.27,78752,0.73,17137,0.16,5545,0.05,93451,0.86,1240,0.01,8237,0.08,13365,0.12,38534,31432,0.82,12614,0.33,107418,3679,0.03,10278,0.1,29324,691,0.02,2412,0.08,16652,758,0.05,2083,0.13,0.78,0.73,0.95,0.74,0.07,0.17,0.81,0.91,0.73,0.69,0.95,0.93,0.05,0.05,0.97
district,senate,S027,Darien; Stamford,Carlo Leone,D,109686,23296,0.21,86390,0.79,14348,0.13,30915,0.28,52668,0.48,14219,0.13,11884,0.11,38840,0.35,42416,20255,0.48,19117,0.46,109170,10917,0.1,29010,0.27,23108,2621,0.11,8148,0.35,14111,1870,0.13,4285,0.3,0.68,0.62,0.85,0.66,0.11,0.22,0.77,0.8,0.49,0.59,0.74,0.86,0.11,0.09,0.89
district,senate,S028,Easton; Fairfield; Newtown; Weston,Tony Hwang,R,104689,24958,0.24,79731,0.76,17096,0.16,6073,0.06,91124,0.87,1600,0.02,5892,0.06,10879,0.1,35954,31042,0.86,11780,0.33,99476,4108,0.04,9870,0.1,24761,642,0.03,1795,0.07,16154,668,0.04,1983,0.12,0.82,0.75,0.95,0.7,0.09,0.22,0.8,0.91,0.68,0.58,0.95,0.9,0.06,0.06,0.96
district,senate,S029,Brooklyn; Canterbury; Killingly; Mansfield; Putnam; Scotland; Thompson; Windham,Mae Flexer,D,101508,17470,0.17,84038,0.83,13653,0.13,12867,0.13,79312,0.78,2779,0.03,6550,0.06,7468,0.07,33979,21520,0.63,12486,0.38,83948,11884,0.14,24876,0.3,16965,2747,0.16,6260,0.37,12780,938,0.07,3071,0.24,0.63,0.68,0.84,0.51,0.17,0.29,0.75,0.68,0.51,0.37,0.65,0.81,0.19,0.11,0.9
district,senate,S030,Canaan; Cornwall; Goshen; Kent; Litchfield; New Milford; Salisbury; Sharon; Winchester,Craig Miner,R,94250,17930,0.19,76320,0.81,19031,0.2,5970,0.06,82817,0.88,1250,0.01,4213,0.04,8552,0.09,37894,29160,0.77,12574,0.34,93063,6748,0.07,16259,0.17,17520,1269,0.07,3118,0.18,18523,968,0.05,3481,0.19,0.73,0.68,0.88,0.56,0.17,0.29,0.7,0.73,0.43,0.37,0.69,0.78,0.11,0.07,0.92
district,senate,S031,Bristol; Harwinton; Plainville; Plymouth; Thomaston,Henri Martin,R,101094,19903,0.2,81191,0.8,16818,0.17,12735,0.13,80865,0.8,3387,0.03,4107,0.04,7941,0.08,41411,28545,0.69,13109,0.32,100135,9037,0.09,22141,0.22,19636,2552,0.13,5747,0.29,16347,1253,0.08,3951,0.24,0.69,0.61,0.91,0.57,0.18,0.33,0.71,0.72,0.43,0.38,0.63,0.76,0.18,0.11,0.89
district,senate,S032,Bethlehem; Bridgewater; Middlebury; Oxford; Roxbury; Southbury; Washington; Watertown; Woodbury,Eric C. Berthel,R,93438,18781,0.2,74657,0.8,19922,0.21,5777,0.06,82906,0.89,1698,0.02,3057,0.03,7403,0.08,36291,29677,0.82,11455,0.33,92648,4459,0.05,13191,0.14,18522,867,0.05,2802,0.15,19503,1340,0.07,3895,0.2,0.78,0.68,0.95,0.61,0.12,0.26,0.78,0.83,0.6,0.48,0.87,0.87,0.07,0.09,0.95
district,senate,S033,Chester; Clinton; Colchester; East Haddam; East Hampton; Haddam; Lyme; Portland,Norman Needleman,D,99614,19146,0.19,80468,0.81,20110,0.2,4159,0.04,90922,0.91,1164,0.01,3369,0.03,5631,0.06,40462,32690,0.81,12446,0.31,98590,5577,0.06,15469,0.16,18941,1324,0.07,3515,0.19,19471,837,0.04,3301,0.17,0.8,0.69,0.94,0.62,0.15,0.21,0.79,0.83,0.49,0.41,0.88,0.86,0.09,0.09,0.94
district,senate,S034,Durham; East Haven; North Haven; Wallingford,Leonard A. Fasano,R,95791,16668,0.17,79123,0.83,19748,0.21,8898,0.09,79704,0.83,2009,0.02,5180,0.05,7915,0.08,37838,28487,0.75,11458,0.31,94303,5404,0.06,14488,0.15,16587,1403,0.08,3417,0.21,18655,1099,0.06,3802,0.2,0.72,0.66,0.92,0.57,0.14,0.33,0.77,0.78,0.57,0.55,0.8,0.84,0.13,0.1,0.93
district,senate,S035,Ashford; Coventry; Eastford; Hampton; Pomfret; Stafford; Tolland; Union; Willington; Woodstock,Dan Champagne,R,100586,19568,0.19,81018,0.81,16300,0.16,5122,0.05,87862,0.87,2193,0.02,5409,0.05,6044,0.06,40715,29768,0.73,11581,0.29,99598,6273,0.06,17903,0.18,19285,1093,0.06,3884,0.2,15763,831,0.05,2811,0.18,0.66,0.71,0.93,0.59,0.16,0.3,0.74,0.82,0.49,0.52,0.85,0.86,0.17,0.12,0.94
district,senate,S036,Greenwich; New Canaan; Stamford,Alexandra Bergstein,D,98356,23980,0.24,74376,0.76,17350,0.18,11964,0.12,72775,0.74,4302,0.04,9315,0.09,22024,0.22,34872,25328,0.73,11437,0.34,97462,5321,0.05,11500,0.12,23854,1344,0.06,2917,0.12,16693,761,0.05,1980,0.12,0.72,0.69,0.88,0.69,0.09,0.2,0.81,0.84,0.59,0.64,0.82,0.89,0.09,0.07,0.92
